"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2045/2046",2046,120,120,100,1369,1256,74.5683303159931,1835.47076509194
"2046/2047",2047,120,120,100,1531,1319.5,75.5573899320689,1915.96469634026
"2047/2048",2048,120,120,100,1586,1539.5,76.6959192023278,1979.24963186076
"2048/2049",2049,121,121,100,1866,1672.5,84.4931887197499,1601.54401830025
"2049/2050",2050,120,120,100,1487,1280,77.7436988687814,1225.14307783497
"2050/2051",2051,120,120,100,1543,1067.5,74.2769989881199,890.745097661391
"2051/2052",2052,120,120,100,1464,1326,79.2488262587931,2482.83221339434
"2052/2053",2053,121,121,100,1541,1555,80.1941361865011,3349.41770407371
"2053/2054",2054,120,120,100,1591,1763.5,84.2363665181365,3114.35891327495
"2054/2055",2055,120,120,100,1649,1738.5,84.8618800394088,3077.59375871671
"2055/2056",2056,120,120,100,1541,1441,80.4856928462359,2285.32020766148
"2056/2057",2057,121,121,100,1599,1294,77.6039876644591,3525.20220303861
"2057/2058",2058,120,120,100,1388,1460.5,74.7230554755479,2233.86018162034
"2058/2059",2059,120,120,100,1728,1723.5,86.3594929157134,2834.25989740156
"2059/2060",2060,120,120,100,1261,1147.5,70.8067080697074,1704.2337693763
"2060/2061",2061,121,121,100,1552,1654,83.7413767052185,3153.31355381804
"2061/2062",2062,120,120,100,1267,1229.5,72.527887262042,4513.12819332723
"2062/2063",2063,120,120,100,1540,1251.5,74.3314878708261,1473.45462548314
"2063/2064",2064,120,120,100,1588,1335.5,77.8406180192378,1059.24054169236
"2064/2065",2065,121,121,100,1352,1425.5,79.4755433783812,2760.89512472181
"2065/2066",2066,120,120,100,1632,1591.5,82.7732232944854,2504.40135370241
"2066/2067",2067,120,120,100,1774,1674,83.8531144348708,2162.02975973254
"2067/2068",2068,120,120,100,1540,1312.5,76.3554028709623,1180.70456176531
"2068/2069",2069,121,121,100,1435,1791.5,86.1015945269137,3812.72747458052
"2069/2070",2070,120,120,100,1400,1362.5,75.7133348799052,2722.02968767891
"2070/2071",2071,120,120,100,1629,1625,79.5482483342294,2140.94987166673
"2071/2072",2072,120,120,100,1651,1499,79.3962883454114,1956.61708268151
"2072/2073",2073,121,121,100,1389,1435,82.2077264189884,3434.36631361628
"2073/2074",2074,120,120,100,1634,1813,83.2100631656613,3264.38180711726
"2074/2075",2075,120,120,100,1308,1204,71.9579284571591,4398.14560818253
"2075/2076",2076,120,120,100,1424,1637.5,81.5134270967756,3332.52277293243
"2076/2077",2077,121,121,100,1758,1828,86.5499763211828,3162.29769610986
"2077/2078",2078,120,120,100,1521,1253,76.2272336143287,1113.75036353245
"2078/2079",2079,120,120,100,1621,1447,74.1923742418148,998.702897739597
"2079/2080",2080,120,120,100,1783,1667,82.4521859992183,2031.47079757228
"2080/2081",2081,121,121,100,1710,1706,84.7222515331359,2963.37813727371
"2081/2082",2082,120,120,100,1537,1609,77.7263496030846,3076.28063114919
"2082/2083",2083,120,120,100,1659,1561,79.950579616785,2705.1018259367
"2083/2084",2084,120,120,100,1561,1719.5,82.9550948374126,3657.56590955798
"2084/2085",2085,121,121,100,1555,1271,73.377860336559,1287.91082916968
"2085/2086",2086,120,120,100,1560,1584.5,77.7807953139491,1919.45837334637
"2086/2087",2087,120,120,100,1530,1354.5,75.7219028137988,2296.87141085416
"2087/2088",2088,120,120,100,1750,1551,80.8782653050548,1694.69940690883
"2088/2089",2089,121,121,100,1440,1420,78.5525285190251,2772.62556117307
"2089/2090",2090,120,120,100,1661,1572.5,82.6859655098342,1701.41144143511
"2090/2091",2091,120,120,100,1553,1262,76.244469873669,1054.379652353
"2091/2092",2092,120,120,100,1378,1357.5,77.8530025956588,1900.60823958181
"2092/2093",2093,121,121,100,1535,1352,78.1725437486839,1360.43086652271
"2093/2094",2094,120,120,100,1457,1586.5,82.1864691914743,3142.0849132156
"2094/2095",2095,120,120,100,1364,1502.5,79.8424113227065,2636.3732639933
"2095/2096",2096,120,120,100,1671,1594.5,83.8893201178034,2043.26839849818
"2096/2097",2097,121,121,100,1517,1535,79.7550463752086,4646.19864247832
"2097/2098",2098,120,120,100,1292,1233,75.734933951966,4133.53849828988
"2098/2099",2099,120,120,100,1369,1399.5,76.6700626266829,2195.34012419917
"2099/2100",2100,120,120,100,1496,1467.5,78.4478191572834,2431.03599890787
"2100/2101",2101,120,61,50.8333333333333,946,1076,45.6247034146963,2055.22502386011
