"Treatment","Month","Tmin","Tmax","Year","SSP_Time","month_name"
NA,7,18.0017442484787,28.5205080029417,2037,"SSP1 2085","July"
NA,8,13.9697482433836,22.4229684794934,2063,"SSP1 2085","August"
NA,8,13.2662494008238,21.5872508268438,2076,"SSP1 2085","August"
NA,8,10.6111646779848,20.6966184125387,2089,"SSP1 2085","August"
NA,8,10.9891885540906,23.9590615059826,2074,"SSP1 2085","August"
NA,8,12.74908780055,26.8289284222666,2026,"SSP1 2085","August"
NA,8,14.9624366383471,29.2651827102392,2025,"SSP1 2085","August"
NA,8,16.7251879287538,31.0888530464233,2085,"SSP1 2085","August"
NA,8,18.2993797587672,29.4400461187741,2091,"SSP1 2085","August"
NA,8,17.7387936576663,27.5111954141038,2052,"SSP1 2085","August"
NA,9,11.5647397065154,19.4040361948612,2025,"SSP1 2085","September"
NA,9,8.97166989751283,16.4114719901634,2012,"SSP1 2085","September"
NA,9,8.62575188181571,18.5437291417693,2076,"SSP1 2085","September"
NA,9,8.4331580854058,20.1945739536803,2028,"SSP1 2085","September"
NA,9,8.41710193019714,21.237420700474,2061,"SSP1 2085","September"
NA,9,8.86107987782221,22.3426726527881,2021,"SSP1 2085","September"
NA,9,11.3050886037344,24.5598523737519,2094,"SSP1 2085","September"
NA,9,13.5921833534682,25.6410224416751,2100,"SSP1 2085","September"
NA,9,14.6918712177635,25.0654470174356,2091,"SSP1 2085","September"
NA,9,13.582493462555,22.130232792134,2058,"SSP1 2085","September"
NA,10,10.4945954690478,17.4296444445853,2027,"SSP1 2085","October"
NA,10,10.0147871888636,16.7660889015837,2064,"SSP1 2085","October"
NA,10,6.94675658599712,13.8624681579896,2063,"SSP1 2085","October"
NA,10,4.64275647135162,12.8203148155224,2098,"SSP1 2085","October"
NA,10,4.75137594794732,14.6359162689819,2100,"SSP1 2085","October"
NA,10,8.75282255788418,19.9252381127516,2068,"SSP1 2085","October"
NA,10,11.1748605362369,22.1172986182215,2053,"SSP1 2085","October"
NA,10,12.0677438329505,20.1391910504385,2046,"SSP1 2085","October"
NA,10,11.6352822217042,19.3182664890694,2093,"SSP1 2085","October"
NA,11,4.23512482256745,9.21616126664158,2013,"SSP1 2085","November"
