"SSP_Time","GCM","Year","Frost"
"SSP1 2050","CNRM-CM6-1-HR",2005,0
"SSP1 2050","CNRM-CM6-1-HR",2006,0
"SSP1 2050","CNRM-CM6-1-HR",2007,1
"SSP1 2050","CNRM-CM6-1-HR",2008,0
"SSP1 2050","CNRM-CM6-1-HR",2009,0
"SSP1 2050","CNRM-CM6-1-HR",2010,0
"SSP1 2050","CNRM-CM6-1-HR",2011,0
"SSP1 2050","CNRM-CM6-1-HR",2012,38
"SSP1 2050","CNRM-CM6-1-HR",2013,4
"SSP1 2050","CNRM-CM6-1-HR",2014,0
"SSP1 2050","CNRM-CM6-1-HR",2015,7
"SSP1 2050","CNRM-CM6-1-HR",2016,18
"SSP1 2050","CNRM-CM6-1-HR",2017,0
"SSP1 2050","CNRM-CM6-1-HR",2018,7
"SSP1 2050","CNRM-CM6-1-HR",2019,49
"SSP1 2050","CNRM-CM6-1-HR",2020,0
"SSP1 2050","CNRM-CM6-1-HR",2021,0
"SSP1 2050","CNRM-CM6-1-HR",2022,0
"SSP1 2050","CNRM-CM6-1-HR",2023,0
"SSP1 2050","CNRM-CM6-1-HR",2024,0
"SSP1 2050","CNRM-CM6-1-HR",2025,8
"SSP1 2050","CNRM-CM6-1-HR",2026,0
"SSP1 2050","CNRM-CM6-1-HR",2027,2
"SSP1 2050","CNRM-CM6-1-HR",2028,0
"SSP1 2050","CNRM-CM6-1-HR",2029,0
"SSP1 2050","CNRM-CM6-1-HR",2030,0
"SSP1 2050","CNRM-CM6-1-HR",2031,0
"SSP1 2050","CNRM-CM6-1-HR",2032,0
"SSP1 2050","CNRM-CM6-1-HR",2033,0
"SSP1 2050","CNRM-CM6-1-HR",2034,2
"SSP1 2050","CNRM-CM6-1-HR",2035,0
"SSP1 2050","CNRM-CM6-1-HR",2036,8
"SSP1 2050","CNRM-CM6-1-HR",2037,6
"SSP1 2050","CNRM-CM6-1-HR",2038,0
"SSP1 2050","CNRM-CM6-1-HR",2039,11
"SSP1 2050","CNRM-CM6-1-HR",2040,0
"SSP1 2050","CNRM-CM6-1-HR",2041,0
"SSP1 2050","CNRM-CM6-1-HR",2042,2
"SSP1 2050","CNRM-CM6-1-HR",2043,0
"SSP1 2050","CNRM-CM6-1-HR",2044,3
"SSP1 2050","CNRM-CM6-1-HR",2045,4
"SSP1 2050","CNRM-CM6-1-HR",2046,7
"SSP1 2050","CNRM-CM6-1-HR",2047,0
"SSP1 2050","CNRM-CM6-1-HR",2048,0
"SSP1 2050","CNRM-CM6-1-HR",2049,16
"SSP1 2050","CNRM-CM6-1-HR",2050,0
"SSP1 2050","CNRM-CM6-1-HR",2051,0
"SSP1 2050","CNRM-CM6-1-HR",2052,0
"SSP1 2050","CNRM-CM6-1-HR",2053,0
"SSP1 2050","CNRM-CM6-1-HR",2054,0
"SSP1 2050","CNRM-CM6-1-HR",2055,0
"SSP1 2050","CNRM-CM6-1-HR",2056,0
"SSP1 2050","CNRM-CM6-1-HR",2057,10
"SSP1 2050","CNRM-CM6-1-HR",2058,0
"SSP1 2050","CNRM-CM6-1-HR",2059,0
"SSP1 2050","CNRM-CM6-1-HR",2060,0
"SSP1 2050","CNRM-CM6-1-HR",2061,17
"SSP1 2050","CNRM-CM6-1-HR",2062,0
"SSP1 2050","CNRM-CM6-1-HR",2063,22
"SSP1 2050","CNRM-CM6-1-HR",2064,0
"SSP1 2050","CNRM-CM6-1-HR",2065,0
"SSP1 2050","CNRM-CM6-1-HR",2066,0
"SSP1 2050","CNRM-CM6-1-HR",2067,0
"SSP1 2050","CNRM-CM6-1-HR",2068,0
"SSP1 2050","CNRM-CM6-1-HR",2069,0
"SSP1 2050","CNRM-CM6-1-HR",2070,0
"SSP1 2050","CNRM-CM6-1-HR",2071,11
"SSP1 2050","CNRM-CM6-1-HR",2072,0
"SSP1 2050","CNRM-CM6-1-HR",2073,0
"SSP1 2050","CNRM-CM6-1-HR",2074,0
"SSP1 2050","CNRM-CM6-1-HR",2075,0
"SSP1 2050","CNRM-CM6-1-HR",2076,1
"SSP1 2050","CNRM-CM6-1-HR",2077,4
"SSP1 2050","CNRM-CM6-1-HR",2078,16
"SSP1 2050","CNRM-CM6-1-HR",2079,5
"SSP1 2050","CNRM-CM6-1-HR",2080,0
"SSP1 2050","CNRM-CM6-1-HR",2081,0
"SSP1 2050","CNRM-CM6-1-HR",2082,4
"SSP1 2050","CNRM-CM6-1-HR",2083,1
"SSP1 2050","CNRM-CM6-1-HR",2084,0
"SSP1 2050","CNRM-CM6-1-HR",2085,0
"SSP1 2050","CNRM-CM6-1-HR",2086,0
"SSP1 2050","CNRM-CM6-1-HR",2087,5
"SSP1 2050","CNRM-CM6-1-HR",2088,0
"SSP1 2050","CNRM-CM6-1-HR",2089,2
"SSP1 2050","CNRM-CM6-1-HR",2090,0
"SSP1 2050","CNRM-CM6-1-HR",2091,0
"SSP1 2050","CNRM-CM6-1-HR",2092,7
"SSP1 2050","CNRM-CM6-1-HR",2093,1
"SSP1 2050","CNRM-CM6-1-HR",2094,6
"SSP1 2050","CNRM-CM6-1-HR",2095,0
"SSP1 2050","CNRM-CM6-1-HR",2096,0
"SSP1 2050","CNRM-CM6-1-HR",2097,1
"SSP1 2050","CNRM-CM6-1-HR",2098,0
"SSP1 2050","CNRM-CM6-1-HR",2099,0
"SSP1 2050","CNRM-CM6-1-HR",2100,0
"SSP1 2050","CNRM-ESM2-1",2002,20
"SSP1 2050","CNRM-ESM2-1",2003,7
"SSP1 2050","CNRM-ESM2-1",2004,0
"SSP1 2050","CNRM-ESM2-1",2005,9
"SSP1 2050","CNRM-ESM2-1",2006,0
"SSP1 2050","CNRM-ESM2-1",2007,14
"SSP1 2050","CNRM-ESM2-1",2008,0
"SSP1 2050","CNRM-ESM2-1",2009,18
"SSP1 2050","CNRM-ESM2-1",2010,0
"SSP1 2050","CNRM-ESM2-1",2011,4
"SSP1 2050","CNRM-ESM2-1",2012,0
"SSP1 2050","CNRM-ESM2-1",2013,0
"SSP1 2050","CNRM-ESM2-1",2014,4
"SSP1 2050","CNRM-ESM2-1",2015,22
"SSP1 2050","CNRM-ESM2-1",2016,0
"SSP1 2050","CNRM-ESM2-1",2017,5
"SSP1 2050","CNRM-ESM2-1",2018,0
"SSP1 2050","CNRM-ESM2-1",2019,0
"SSP1 2050","CNRM-ESM2-1",2020,0
"SSP1 2050","CNRM-ESM2-1",2021,0
"SSP1 2050","CNRM-ESM2-1",2022,0
"SSP1 2050","CNRM-ESM2-1",2023,0
"SSP1 2050","CNRM-ESM2-1",2024,8
"SSP1 2050","CNRM-ESM2-1",2025,5
"SSP1 2050","CNRM-ESM2-1",2026,4
"SSP1 2050","CNRM-ESM2-1",2027,0
"SSP1 2050","CNRM-ESM2-1",2028,0
"SSP1 2050","CNRM-ESM2-1",2029,0
"SSP1 2050","CNRM-ESM2-1",2030,3
"SSP1 2050","CNRM-ESM2-1",2031,5
"SSP1 2050","CNRM-ESM2-1",2032,0
"SSP1 2050","CNRM-ESM2-1",2033,0
"SSP1 2050","CNRM-ESM2-1",2034,2
"SSP1 2050","CNRM-ESM2-1",2035,7
"SSP1 2050","CNRM-ESM2-1",2036,0
"SSP1 2050","CNRM-ESM2-1",2037,0
"SSP1 2050","CNRM-ESM2-1",2038,0
"SSP1 2050","CNRM-ESM2-1",2039,16
"SSP1 2050","CNRM-ESM2-1",2040,0
"SSP1 2050","CNRM-ESM2-1",2041,7
"SSP1 2050","CNRM-ESM2-1",2042,2
"SSP1 2050","CNRM-ESM2-1",2043,0
"SSP1 2050","CNRM-ESM2-1",2044,0
"SSP1 2050","CNRM-ESM2-1",2045,0
"SSP1 2050","CNRM-ESM2-1",2046,0
"SSP1 2050","CNRM-ESM2-1",2047,0
"SSP1 2050","CNRM-ESM2-1",2048,5
"SSP1 2050","CNRM-ESM2-1",2049,0
"SSP1 2050","CNRM-ESM2-1",2050,3
"SSP1 2050","CNRM-ESM2-1",2051,0
"SSP1 2050","CNRM-ESM2-1",2052,0
"SSP1 2050","CNRM-ESM2-1",2053,1
"SSP1 2050","CNRM-ESM2-1",2054,2
"SSP1 2050","CNRM-ESM2-1",2055,0
"SSP1 2050","CNRM-ESM2-1",2056,0
"SSP1 2050","CNRM-ESM2-1",2057,8
"SSP1 2050","CNRM-ESM2-1",2058,8
"SSP1 2050","CNRM-ESM2-1",2059,4
"SSP1 2050","CNRM-ESM2-1",2060,0
"SSP1 2050","CNRM-ESM2-1",2061,0
"SSP1 2050","CNRM-ESM2-1",2062,0
"SSP1 2050","CNRM-ESM2-1",2063,0
"SSP1 2050","CNRM-ESM2-1",2064,4
"SSP1 2050","CNRM-ESM2-1",2065,0
"SSP1 2050","CNRM-ESM2-1",2066,0
"SSP1 2050","CNRM-ESM2-1",2067,0
"SSP1 2050","CNRM-ESM2-1",2068,16
"SSP1 2050","CNRM-ESM2-1",2069,0
"SSP1 2050","CNRM-ESM2-1",2070,30
"SSP1 2050","CNRM-ESM2-1",2071,2
"SSP1 2050","CNRM-ESM2-1",2072,21
"SSP1 2050","CNRM-ESM2-1",2073,0
"SSP1 2050","CNRM-ESM2-1",2074,3
"SSP1 2050","CNRM-ESM2-1",2075,0
"SSP1 2050","CNRM-ESM2-1",2076,0
"SSP1 2050","CNRM-ESM2-1",2077,0
"SSP1 2050","CNRM-ESM2-1",2078,0
"SSP1 2050","CNRM-ESM2-1",2079,0
"SSP1 2050","CNRM-ESM2-1",2080,0
"SSP1 2050","CNRM-ESM2-1",2081,0
"SSP1 2050","CNRM-ESM2-1",2082,0
"SSP1 2050","CNRM-ESM2-1",2083,1
"SSP1 2050","CNRM-ESM2-1",2084,0
"SSP1 2050","CNRM-ESM2-1",2085,0
"SSP1 2050","CNRM-ESM2-1",2086,0
"SSP1 2050","CNRM-ESM2-1",2087,0
"SSP1 2050","CNRM-ESM2-1",2088,0
"SSP1 2050","CNRM-ESM2-1",2089,3
"SSP1 2050","CNRM-ESM2-1",2090,10
"SSP1 2050","CNRM-ESM2-1",2091,0
"SSP1 2050","CNRM-ESM2-1",2092,0
"SSP1 2050","CNRM-ESM2-1",2093,0
"SSP1 2050","CNRM-ESM2-1",2094,0
"SSP1 2050","CNRM-ESM2-1",2095,0
"SSP1 2050","CNRM-ESM2-1",2096,0
"SSP1 2050","CNRM-ESM2-1",2097,0
"SSP1 2050","CNRM-ESM2-1",2098,9
"SSP1 2050","CNRM-ESM2-1",2099,7
"SSP1 2050","CNRM-ESM2-1",2100,5
"SSP1 2050","CanESM5",2002,9
"SSP1 2050","CanESM5",2003,1
"SSP1 2050","CanESM5",2004,0
"SSP1 2050","CanESM5",2005,8
"SSP1 2050","CanESM5",2006,0
"SSP1 2050","CanESM5",2007,11
"SSP1 2050","CanESM5",2008,0
"SSP1 2050","CanESM5",2009,7
"SSP1 2050","CanESM5",2010,0
"SSP1 2050","CanESM5",2011,3
"SSP1 2050","CanESM5",2012,0
"SSP1 2050","CanESM5",2013,0
"SSP1 2050","CanESM5",2014,2
"SSP1 2050","CanESM5",2015,36
"SSP1 2050","CanESM5",2016,0
"SSP1 2050","CanESM5",2017,4
"SSP1 2050","CanESM5",2018,0
"SSP1 2050","CanESM5",2019,0
"SSP1 2050","CanESM5",2020,0
"SSP1 2050","CanESM5",2021,0
"SSP1 2050","CanESM5",2022,0
"SSP1 2050","CanESM5",2023,0
"SSP1 2050","CanESM5",2024,5
"SSP1 2050","CanESM5",2025,20
"SSP1 2050","CanESM5",2026,0
"SSP1 2050","CanESM5",2027,0
"SSP1 2050","CanESM5",2028,0
"SSP1 2050","CanESM5",2029,0
"SSP1 2050","CanESM5",2030,1
"SSP1 2050","CanESM5",2031,2
"SSP1 2050","CanESM5",2032,0
"SSP1 2050","CanESM5",2033,0
"SSP1 2050","CanESM5",2034,1
"SSP1 2050","CanESM5",2035,14
"SSP1 2050","CanESM5",2036,0
"SSP1 2050","CanESM5",2037,0
"SSP1 2050","CanESM5",2038,0
"SSP1 2050","CanESM5",2039,5
"SSP1 2050","CanESM5",2040,0
"SSP1 2050","CanESM5",2041,2
"SSP1 2050","CanESM5",2042,0
"SSP1 2050","CanESM5",2043,0
"SSP1 2050","CanESM5",2044,0
"SSP1 2050","CanESM5",2045,0
"SSP1 2050","CanESM5",2046,0
"SSP1 2050","CanESM5",2047,0
"SSP1 2050","CanESM5",2048,3
"SSP1 2050","CanESM5",2049,0
"SSP1 2050","CanESM5",2050,2
"SSP1 2050","CanESM5",2051,0
"SSP1 2050","CanESM5",2052,7
"SSP1 2050","CanESM5",2053,0
"SSP1 2050","CanESM5",2054,0
