"SSP_Time","GCM","Year","Pheno"
"SSP1 2050","AWI-CM-1-1-MR",2085,104.083333333333
"SSP1 2050","AWI-CM-1-1-MR",2086,110.125
"SSP1 2050","AWI-CM-1-1-MR",2087,107.958333333333
"SSP1 2050","AWI-CM-1-1-MR",2088,92.875
"SSP1 2050","AWI-CM-1-1-MR",2089,102.125
"SSP1 2050","AWI-CM-1-1-MR",2090,104.958333333333
"SSP1 2050","AWI-CM-1-1-MR",2091,114.416666666667
"SSP1 2050","AWI-CM-1-1-MR",2092,106.083333333333
"SSP1 2050","AWI-CM-1-1-MR",2093,110.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2094,101.541666666667
"SSP1 2050","AWI-CM-1-1-MR",2095,122.25
"SSP1 2050","AWI-CM-1-1-MR",2096,85.875
"SSP1 2050","AWI-CM-1-1-MR",2097,121.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2098,106.166666666667
"SSP1 2050","AWI-CM-1-1-MR",2099,102.25
"SSP1 2050","AWI-CM-1-1-MR",2100,94
"SSP1 2050","CMCC-ESM2",2001,NA
"SSP1 2050","CMCC-ESM2",2002,107.083333333333
"SSP1 2050","CMCC-ESM2",2003,100.333333333333
"SSP1 2050","CMCC-ESM2",2004,96.2083333333333
"SSP1 2050","CMCC-ESM2",2005,94.375
"SSP1 2050","CMCC-ESM2",2006,94.5416666666667
"SSP1 2050","CMCC-ESM2",2007,97
"SSP1 2050","CMCC-ESM2",2008,102.041666666667
"SSP1 2050","CMCC-ESM2",2009,98.0833333333333
"SSP1 2050","CMCC-ESM2",2010,96.25
"SSP1 2050","CMCC-ESM2",2011,94.2083333333333
"SSP1 2050","CMCC-ESM2",2012,105.166666666667
"SSP1 2050","CMCC-ESM2",2013,98.0833333333333
"SSP1 2050","CMCC-ESM2",2014,103.375
"SSP1 2050","CMCC-ESM2",2015,113.083333333333
"SSP1 2050","CMCC-ESM2",2016,106.708333333333
"SSP1 2050","CMCC-ESM2",2017,101.25
"SSP1 2050","CMCC-ESM2",2018,96.9583333333333
"SSP1 2050","CMCC-ESM2",2019,118.333333333333
"SSP1 2050","CMCC-ESM2",2020,97.9166666666667
"SSP1 2050","CMCC-ESM2",2021,93.375
"SSP1 2050","CMCC-ESM2",2022,95.25
"SSP1 2050","CMCC-ESM2",2023,101.625
"SSP1 2050","CMCC-ESM2",2024,100
"SSP1 2050","CMCC-ESM2",2025,90.5416666666667
"SSP1 2050","CMCC-ESM2",2026,82.0833333333333
"SSP1 2050","CMCC-ESM2",2027,87.25
"SSP1 2050","CMCC-ESM2",2028,87.125
"SSP1 2050","CMCC-ESM2",2029,93
"SSP1 2050","CMCC-ESM2",2030,104.166666666667
"SSP1 2050","CMCC-ESM2",2031,94.9166666666667
"SSP1 2050","CMCC-ESM2",2032,90.9583333333333
"SSP1 2050","CMCC-ESM2",2033,101.375
"SSP1 2050","CMCC-ESM2",2034,102.958333333333
"SSP1 2050","CMCC-ESM2",2035,106.083333333333
"SSP1 2050","CMCC-ESM2",2036,101
"SSP1 2050","CMCC-ESM2",2037,111.958333333333
"SSP1 2050","CMCC-ESM2",2038,108.25
"SSP1 2050","CMCC-ESM2",2039,123
"SSP1 2050","CMCC-ESM2",2040,93.1666666666667
"SSP1 2050","CMCC-ESM2",2041,86.3333333333333
"SSP1 2050","CMCC-ESM2",2042,105.458333333333
"SSP1 2050","CMCC-ESM2",2043,101.125
"SSP1 2050","CMCC-ESM2",2044,94.2083333333333
"SSP1 2050","CMCC-ESM2",2045,107.25
"SSP1 2050","CMCC-ESM2",2046,117.166666666667
"SSP1 2050","CMCC-ESM2",2047,98.9583333333333
"SSP1 2050","CMCC-ESM2",2048,103.375
"SSP1 2050","CMCC-ESM2",2049,107.666666666667
"SSP1 2050","CMCC-ESM2",2050,102.25
"SSP1 2050","CMCC-ESM2",2051,119.041666666667
"SSP1 2050","CMCC-ESM2",2052,116.125
"SSP1 2050","CMCC-ESM2",2053,93.0833333333333
"SSP1 2050","CMCC-ESM2",2054,95.375
"SSP1 2050","CMCC-ESM2",2055,90.2083333333333
"SSP1 2050","CMCC-ESM2",2056,95.0833333333333
"SSP1 2050","CMCC-ESM2",2057,103.25
"SSP1 2050","CMCC-ESM2",2058,98.25
"SSP1 2050","CMCC-ESM2",2059,99.1666666666667
"SSP1 2050","CMCC-ESM2",2060,103.208333333333
"SSP1 2050","CMCC-ESM2",2061,104.416666666667
"SSP1 2050","CMCC-ESM2",2062,109.125
"SSP1 2050","CMCC-ESM2",2063,101.625
"SSP1 2050","CMCC-ESM2",2064,113.291666666667
"SSP1 2050","CMCC-ESM2",2065,88.9166666666667
"SSP1 2050","CMCC-ESM2",2066,94.1666666666667
"SSP1 2050","CMCC-ESM2",2067,92.1666666666667
"SSP1 2050","CMCC-ESM2",2068,99.2083333333333
"SSP1 2050","CMCC-ESM2",2069,98.125
"SSP1 2050","CMCC-ESM2",2070,91.3333333333333
"SSP1 2050","CMCC-ESM2",2071,96.875
"SSP1 2050","CMCC-ESM2",2072,102
"SSP1 2050","CMCC-ESM2",2073,90.4583333333333
"SSP1 2050","CMCC-ESM2",2074,98.9583333333333
"SSP1 2050","CMCC-ESM2",2075,99.25
"SSP1 2050","CMCC-ESM2",2076,100.875
"SSP1 2050","CMCC-ESM2",2077,97.3333333333333
"SSP1 2050","CMCC-ESM2",2078,111.208333333333
"SSP1 2050","CMCC-ESM2",2079,91.2083333333333
"SSP1 2050","CMCC-ESM2",2080,93.2916666666667
"SSP1 2050","CMCC-ESM2",2081,73.2916666666667
"SSP1 2050","CMCC-ESM2",2082,108.833333333333
"SSP1 2050","CMCC-ESM2",2083,119.416666666667
"SSP1 2050","CMCC-ESM2",2084,93.0416666666667
"SSP1 2050","CMCC-ESM2",2085,103.25
"SSP1 2050","CMCC-ESM2",2086,110.25
"SSP1 2050","CMCC-ESM2",2087,108.041666666667
"SSP1 2050","CMCC-ESM2",2088,92.875
"SSP1 2050","CMCC-ESM2",2089,102.25
"SSP1 2050","CMCC-ESM2",2090,104.375
"SSP1 2050","CMCC-ESM2",2091,115.291666666667
"SSP1 2050","CMCC-ESM2",2092,106.291666666667
