"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2078/2079",2079,120,120,100,1681,1637,76.1888184390591,1291.41735666897
"2079/2080",2080,120,120,100,1791,1877,85.6542458647054,2558.95905575529
"2080/2081",2081,121,121,100,1745,1899.5,88.4201208802951,3575.08254193701
"2081/2082",2082,120,120,100,1456,1716,78.7667880225035,3771.2573551489
"2082/2083",2083,120,120,100,1658,1699.5,80.1428903336819,3521.28408499341
"2083/2084",2084,120,120,100,1447,1795,81.7252682374619,4581.07609358896
"2084/2085",2085,121,121,100,1661,1508.5,77.2655123300283,1664.714474448
"2085/2086",2086,120,120,100,1525,1713.5,80.1040897816074,2584.72130950633
"2086/2087",2087,120,120,100,1493,1501,79.0105312486776,2907.26575546898
"2087/2088",2088,120,120,100,1698,1727,81.8827603991322,2336.85762243904
"2088/2089",2089,121,121,100,1446,1513,80.0364909944728,3517.51692723017
"2089/2090",2090,120,120,100,1646,1763,84.5764067437067,2286.2241858365
"2090/2091",2091,120,120,100,1667,1441.5,77.9071822968253,1329.68494477309
"2091/2092",2092,120,120,100,1399,1457.5,78.8028914480146,2551.83175656851
"2092/2093",2093,121,121,100,1618,1562,79.9412044814526,1781.38638209365
"2093/2094",2094,120,120,100,1397,1615.5,82.2192178214882,4223.69827171043
"2094/2095",2095,120,120,100,1279,1531.5,81.1211287318019,3563.55117677245
"2095/2096",2096,120,120,100,1742,1806.5,87.0374176150472,2521.46486380696
"2096/2097",2097,121,121,100,1531,1609,79.7026862302082,5696.4962734431
"2097/2098",2098,120,120,100,1359,1278.5,72.4356846635837,5327.76164729614
"2098/2099",2099,120,120,100,1347,1474,77.9730749973623,2927.18577093817
"2099/2100",2100,120,120,100,1470,1569,79.679556427609,3190.766949757
"2100/2101",2101,120,61,50.8333333333333,842,1080,46.0239351410364,2811.04090612289
